Scientific_Name,Common_Name,#_of_States_2005,States_2005,#_of_States_2015,States_2015,Taxonomic_Group,matches_biotics
Ventridens coelaxis,bidentate dome,2,"Tennessee,Virginia",3,"Tennessee,Virginia,West Virginia",Mollusks,TRUE
Ventridens suppressus,flat dome,0,NA,3,"Michigan,North Carolina,West Virginia",Mollusks,TRUE
Veronica catenata,sessile water-speedwell,1,Vermont,3,"Massachusetts,Tennessee,Vermont",Plants,TRUE
Vertigo clappi,cupped vertigo,2,"Tennessee,Virginia",3,"Tennessee,Virginia,West Virginia",Mollusks,TRUE
Vertigo cristata,Crested vertigo,1,Michigan,3,"Michigan,Pennsylvania,West Virginia",Other,TRUE
Vertigo hubrichti,Hubricht's vertigo,4,"Iowa,Michigan,Minnesota,Wisconsin",3,"Iowa,Michigan,Wisconsin",Other,FALSE
Vertigo morsei,six-whorl vertigo,3,"Maine,Michigan,Wisconsin",3,"Maine,Michigan,Wisconsin",Mollusks,TRUE
Vertigo paradoxa,mystery vertigo,5,"Maine,Michigan,South Dakota,Wisconsin,Wyoming",3,"Maine,Michigan,South Dakota",Mollusks,FALSE
Vertigo pygmaea,crested vertigo,3,"Delaware,Michigan,Pennsylvania",3,"Delaware,Michigan,Pennsylvania",Mollusks,TRUE
Vertigo teskeyae,swamp vertigo,3,"Delaware,Tennessee,Virginia",3,"Delaware,Tennessee,Virginia",Mollusks,TRUE
Viburnum bracteatum,bracted arrowwood,1,Georgia,3,"Georgia,Missouri,Tennessee",Plants,TRUE
Villosa constricta,notched rainbow,3,"North Carolina,South Carolina,Virginia",3,"North Carolina,South Carolina,Virginia",Mollusks,TRUE
Villosa nebulosa,Alabama rainbow,2,"Georgia,Tennessee",3,"Alabama,Georgia,Tennessee",Mollusks,TRUE
Villosa umbrans,Coosa creekshell,3,"Alabama,Georgia,Tennessee",3,"Alabama,Georgia,Tennessee",Mollusks,TRUE
Villosa vanuxemensis,mountain creekshell,4,"Georgia,Kentucky,North Carolina,Virginia",3,"Kentucky,Tennessee,Virginia",Mollusks,TRUE
Vitis rupestris,sand grape,0,NA,3,"Tennessee,Texas,West Virginia",Plants,TRUE
Vitrina angelicae,eastern glass-snail,2,"Pennsylvania,Wisconsin",3,"Pennsylvania,West Virginia,Wisconsin",Mollusks,TRUE
Williamsonia fletcheri,Ebony Boghaunter,4,"Massachusetts,Michigan,New York,Vermont",3,"Massachusetts,Minnesota,Vermont",Other Invertebrates,TRUE
Xerophyllum asphodeloides,eastern turkeybeard,1,Georgia,3,"Georgia,Tennessee,West Virginia",Plants,TRUE
Xerospermophilus spilosoma,Spotted Ground Squirrel,4,"Arizona,Kansas,Utah,Wyoming",3,"Arizona,Kansas,Wyoming",Mammals,TRUE
Xyris drummondii,Drummond's yellow-eyed grass,1,Georgia,3,"Georgia,Louisiana,Texas",Plants,TRUE
Xyris torta,common yelloweyed grass,2,"Missouri,Nebraska",3,"Nebraska,South Carolina,West Virginia",Plants,TRUE
Zale obliqua,Oblique Zale Moth,2,"Connecticut,Pennsylvania",3,"Connecticut,Maine,Pennsylvania",Other Invertebrates,TRUE
Zoarces americanus,ocean pout,1,Connecticut,3,"Connecticut,Delaware,New Jersey",Fish,TRUE
Abagrotis nefascia benjamini,Benjamin's Abagrotis,2,"Connecticut,New York",2,"Connecticut,Rhode Island",Other,TRUE
Abronia umbellata var. breviflora,pink sand verbena,1,Oregon,2,"California,Oregon",Plants,TRUE
Acanthocyclops columbiensis,Copepod sp.,1,District of Columbia,2,"District of Columbia,Maryland",Other Invertebrates,TRUE
Accipiter gentilis atricapillus,Northern Goshawk,2,"Alaska,Arizona",2,"Arizona,Oregon",Birds,TRUE
Acella haldemani,spindle lymnaea,5,"Illinois,Michigan,Minnesota,New York,Vermont",2,"Michigan,Vermont",Mollusks,TRUE
Acentrella parvula,A Mayfly,0,NA,2,"Colorado,Florida",Other Invertebrates,TRUE
Achalarus lyciades,Hoary Edge,1,Indiana,2,"Florida,Nebraska",Other Invertebrates,TRUE
Aconitum reclinatum,trailing white monkshood,0,NA,2,"Tennessee,West Virginia",Plants,TRUE
Acronicta falcula,Corylus Dagger Moth,1,Michigan,2,"Connecticut,Michigan",Other Invertebrates,TRUE
Acronicta fragilis,fragile dagger,0,NA,2,"Connecticut,Rhode Island",Other Invertebrates,TRUE
Acropora palmata,Elkhorn Coral,1,Florida,2,"Florida,Virgin Islands",Other Invertebrates,TRUE
Actaea pachypoda,white baneberry,1,Nebraska,2,"Louisiana,Nebraska",Plants,TRUE
Actaea racemosa,black snakeroot,0,NA,2,"Connecticut,Massachusetts",Plants,TRUE
Aeronautes saxatalis,White-throated Swift,4,"Colorado,Nebraska,Nevada,Texas",2,"Arizona,Nebraska",Birds,TRUE
Aeshna constricta,Lance-tipped Darner,3,"Maryland,Pennsylvania,Virginia",2,"Pennsylvania,Virginia",Other Invertebrates,TRUE
Aeshna juncea,Sedge Darner,2,"Maine,Michigan",2,"Maine,New Hampshire",Other Invertebrates,TRUE
Agabetes acuductus,A Water Scavenger Beetle,2,"Delaware,Wisconsin",2,"Delaware,Wisconsin",Other Invertebrates,TRUE
Agalinis aphylla,scaleleaf false foxglove,0,NA,2,"Louisiana,South Carolina",Plants,TRUE
Agalinis heterophylla,prairie false foxglove,1,Missouri,2,"Missouri,Tennessee",Plants,TRUE
Agalinis purpurea,purple false foxglove,2,"Missouri,Nebraska",2,"Missouri,Nebraska",Plants,TRUE
Agastache nepetoides,catnip giant hyssop,2,"Georgia,Vermont",2,"Georgia,Vermont",Plants,TRUE
Agelaius tricolor,Tricolored Blackbird,2,"California,Nevada",2,"California,Nevada",Birds,TRUE
Ageratina aromatica,lesser snakeroot,0,NA,2,"Massachusetts,West Virginia",Plants,TRUE
Agnorisma bollii,A Noctuid Moth,2,"Delaware,South Carolina",2,"Delaware,South Carolina",Other Invertebrates,TRUE
Agonostomus monticola,mountain mullet,2,"Florida,Puerto Rico",2,"Florida,Puerto Rico",Fish,TRUE
Agonum belleri,Beller's ground beetle,1,Washington,2,"Oregon,Washington",Other Invertebrates,TRUE
Agrimonia pubescens,groovebur,0,NA,2,"Massachusetts,South Carolina",Plants,TRUE
Agrotis buchholzi,Buchholz's dart moth,0,NA,2,"New Jersey,North Carolina",Other Invertebrates,TRUE
Aimophila ruficeps,Rufous-crowned Sparrow,2,"Arkansas,Texas",2,"Arkansas,Texas",Birds,TRUE
Alasmidonta arcula,Altamaha arcmussel,1,Georgia,2,"Georgia,South Carolina",Mollusks,TRUE
Alasmidonta atropurpurea,Cumberland elktoe,2,"Kentucky,Tennessee",2,"Kentucky,Tennessee",Mollusks,TRUE
Alasmidonta raveneliana,Appalachian elktoe,2,"North Carolina,Tennessee",2,"North Carolina,Tennessee",Mollusks,TRUE
Alces alces,moose,4,"Massachusetts,Michigan,Wisconsin,Wyoming",2,"Vermont,Wyoming",Mammals,TRUE
Allium cernuum,nodding onion,1,Nebraska,2,"Nebraska,West Virginia",Plants,TRUE
Allocapnia fumosa,Smokies snowfly,2,"Tennessee,Virginia",2,"Tennessee,Virginia",Other Invertebrates,TRUE
Allocapnia jeanae,Osage Snowfly,1,Arkansas,2,"Arkansas,Oklahoma",Other Invertebrates,TRUE
Allocapnia simmonsi,Spatulate snowfly,2,"Pennsylvania,Virginia",2,"Pennsylvania,Virginia",Other Invertebrates,TRUE
Allocrangonyx hubrichti,Central Missouri cave amphipod,2,"Arkansas,Missouri",2,"Arkansas,Missouri",Other Invertebrates,TRUE
Allogona profunda,broad-banded forestsnail,1,Pennsylvania,2,"Pennsylvania,Wisconsin",Mollusks,TRUE
Alloperla idei,Vernal sallfly,1,Virginia,2,"Pennsylvania,Virginia",Other Invertebrates,TRUE
Alloperla voinae,Lawrence Sallfly,3,"Massachusetts,New York,Vermont",2,"Maine,Vermont",Other Invertebrates,TRUE
Alnus viridis ssp. crispa,mountain alder,0,NA,2,"Massachusetts,Tennessee",Plants,TRUE
Amara chalcea,Seed-eating Ground Beetle,2,"Connecticut,Rhode Island",2,"Connecticut,Rhode Island",Other Invertebrates,TRUE
Amazilia violiceps,Violet-crowned Hummingbird,2,"Arizona,New Mexico",2,"Arizona,New Mexico",Birds,TRUE
Amblema neislerii,fat three-ridge,2,"Florida,Georgia",2,"Florida,Georgia",Mollusks,TRUE
Ambloplites cavifrons,Roanoke bass,2,"North Carolina,Virginia",2,"North Carolina,Virginia",Fish,TRUE
Ambloplites rupestris,rock bass,1,Mississippi,2,"Iowa,Mississippi",Fish,TRUE
Amblycheila cylindriformis,Great Plains Giant Tiger Beetle,2,"Nebraska,South Dakota",2,"Nebraska,South Dakota",Other Invertebrates,TRUE
Amblyopsis rosae,Ozark cavefish,3,"Arkansas,Missouri,Oklahoma",2,"Missouri,Oklahoma",Fish,TRUE
Ambystoma mabeei,Mabee's Salamander,2,"North Carolina,Virginia",2,"North Carolina,Virginia",Amphibians,TRUE
Ameiurus natalis,yellow bullhead,2,"Delaware,North Dakota",2,"New Jersey,North Dakota",Fish,TRUE
Ameiurus platycephalus,flat bullhead,1,South Carolina,2,"North Carolina,South Carolina",Fish,TRUE
Ameiurus serracanthus,spotted bullhead,2,"Florida,Georgia",2,"Florida,Georgia",Fish,TRUE
Amelanchier bartramiana,oblongfruit serviceberry,0,NA,2,"Massachusetts,West Virginia",Plants,TRUE
Ameletus cryptostimulus,Allegheny mayfly,1,Virginia,2,"Pennsylvania,Virginia",Other Invertebrates,TRUE
Ameletus tarteri,Tarter's Ameletus mayfly,2,"New York,Virginia",2,"New York,Virginia",Other Invertebrates,TRUE
Ammodramus savannarum ammolegus,Arizona Grasshopper Sparrow,1,Arizona,2,"Arizona,New Mexico",Birds,TRUE
Ammodramus savannarum perpallidus,Western Grasshopper Sparrow,1,Arizona,2,"Arizona,Oregon",Birds,TRUE
Ammodramus savannarum pratensis,Grasshopper Sparrow,0,NA,2,"Florida,Georgia",Birds,TRUE
Amnicola,Waccamaw Snail,1,North Carolina,2,"North Carolina,Washington",Mollusks,FALSE
Amorpha nitens,shining false indigo,1,Georgia,2,"Georgia,Missouri",Plants,TRUE
Amorpha paniculata,panicled false indigo,0,NA,2,"Louisiana,Texas",Plants,TRUE
Amorpha schwerinii,Schwerin's false indigo,1,Georgia,2,"Georgia,South Carolina",Plants,TRUE
Amphinaias infucata,sculptured pigtoe,2,"Alabama,Florida",2,"Alabama,Florida",Mollusks,TRUE
Amphinaias kleiniana,Suwannee Pigtoe,2,"Florida,Georgia",2,"Florida,Georgia",Mollusks,TRUE
Amsonia ludoviciana,Louisiana blue-star,1,Georgia,2,"Georgia,Louisiana",Plants,TRUE
Anas cyanoptera,Cinnamon Teal,2,"Nebraska,Nevada",2,"Nebraska,Washington",Birds,TRUE
Anas platyrhynchos,Mallard,3,"Delaware,Ohio,South Carolina",2,"Delaware,South Carolina",Birds,TRUE
Anas strepera,Gadwall,2,"Ohio,Rhode Island",2,"Maryland,North Carolina",Birds,TRUE
Anastrophyllum saxicola,no common name,1,Vermont,2,"Tennessee,Vermont",Plants,TRUE
Anaxyrus americanus,American Toad,0,NA,2,"District of Columbia,Nebraska",Amphibians,TRUE
Anaxyrus boreas boreas,Boreal Toad,3,"Colorado,New Mexico,Wyoming",2,"Colorado,Wyoming",Amphibians,TRUE
Anaxyrus quercicus,Oak Toad,3,"Louisiana,North Carolina,Virginia",2,"North Carolina,Virginia",Amphibians,TRUE
Andrena fulvipennis,NA,0,NA,2,"Maryland,New Jersey",Other Invertebrates,TRUE
Anemone canadensis,Canadian anemone,0,NA,2,"Tennessee,West Virginia",Plants,TRUE
Anemone caroliniana,Carolina anemone,0,NA,2,"Georgia,Tennessee",Plants,TRUE
Anemone cylindrica,candle anemone,1,Missouri,2,"Missouri,Vermont",Plants,TRUE
Anemone multifida var. multifida,Pacific anemone,0,NA,2,"Nebraska,Vermont",Plants,TRUE
Anguispira nimapuna,Nimapu tigersnail,1,Idaho,2,"Idaho,Washington",Mollusks,TRUE
Anser albifrons elgasi,Tule Greater White-fronted Goose,1,Alaska,2,"Alaska,California",Birds,TRUE
Anthanassa texana seminole,Seminole Crescent,1,Louisiana,2,"Florida,Louisiana",Other Invertebrates,TRUE
Anthopotamus verticis,Walker's tusked sprawler,2,"Connecticut,Maryland",2,"Connecticut,Michigan",Other Invertebrates,TRUE
Anthrobia monmouthia,A Spider,2,"Virginia,West Virginia",2,"Tennessee,Virginia",Other Invertebrates,TRUE
Anticlea elegans var. glaucus,mountain deathcamas,1,Missouri,2,"Tennessee,West Virginia",Plants,TRUE
Antilocapra americana,pronghorn,2,"Texas,Washington",2,"California,Texas",Mammals,TRUE
Antilocapra americana sonoriensis,Sonoran Pronghorn,1,Arizona,2,"Arizona,California",Mammals,TRUE
Antrolana lira,Madison Cave isopod,2,"Virginia,West Virginia",2,"Virginia,West Virginia",Other Invertebrates,TRUE
Antrostomus arizonae,Mexican Whip-poor-will,0,NA,2,"Arizona,New Mexico",Birds,TRUE
Apalone spinifera aspera,Gulf Coast Spiny Softshell Turtle,1,North Carolina,2,"Florida,North Carolina",Reptiles,TRUE
Apamea burgessi,A Cutworm Moth,2,"Connecticut,Pennsylvania",2,"Connecticut,Pennsylvania",Other Invertebrates,TRUE
Apamea inebriata,Drunk Apamea Moth,2,"Massachusetts,New Jersey",2,"Massachusetts,Rhode Island",Other Invertebrates,TRUE
Aphelocoma californica,Western Scrub-Jay,1,Wyoming,2,"Arizona,Wyoming",Birds,TRUE
Aphonopelma hentzi,Texas brown tarantula,0,NA,2,"Louisiana,Missouri",Other Invertebrates,TRUE
Aplectoides condita,A Noctuid Moth,3,"Pennsylvania,Rhode Island,West Virginia",2,"Pennsylvania,West Virginia",Other Invertebrates,TRUE
Aplectrum hyemale,puttyroot,1,Vermont,2,"Massachusetts,Vermont",Plants,TRUE
Aplodinotus grunniens,freshwater drum,1,Virginia,2,"North Carolina,Virginia",Fish,TRUE
Aplodontia rufa californica,Sierra Nevada mountain beaver,2,"California,Nevada",2,"California,Nevada",Mammals,TRUE
Appalachia hebardi,Appalachian grasshopper,1,Virginia,2,"Pennsylvania,Virginia",Other Invertebrates,TRUE
Arabidopsis lyrata,lyrate rockcress,0,NA,2,"Massachusetts,Vermont",Plants,TRUE
Arabis mcdonaldiana,McDonald's rockcress,1,Oregon,2,"California,Oregon",Plants,TRUE
Arabis patens,spreading rockcress,0,NA,2,"Tennessee,West Virginia",Plants,TRUE
Aramus guarauna,Limpkin,2,"Florida,Puerto Rico",2,"Florida,Puerto Rico",Birds,TRUE
Aratus pisonii,mangrove tree crab,2,"Florida,Puerto Rico",2,"Florida,Puerto Rico",Other Invertebrates,TRUE
Arceuthobium pusillum,eastern dwarf mistletoe,1,Vermont,2,"Massachusetts,Vermont",Plants,TRUE
Archilestes grandis,Great Spreadwing,3,"Delaware,Indiana,Maryland",2,"Delaware,District of Columbia",Other Invertebrates,TRUE
Arctostaphylos uva-ursi,kinnikinnick,1,Nebraska,2,"Nebraska,West Virginia",Plants,TRUE
Arenaria melanocephala,Black Turnstone,1,Alaska,2,"Alaska,California",Birds,TRUE
Argyrostrotis anilis,Short-lined Chocolate,1,Rhode Island,2,"Connecticut,Rhode Island",Other Invertebrates,TRUE
Aristida desmantha,Curly Three-awn,1,Missouri,2,"Missouri,Nebraska",Plants,TRUE
Aristida purpurascens var. purpurascens,Arrowfeather Three-awn,0,NA,2,"Nebraska,West Virginia",Plants,TRUE
Arizona elegans,Glossy Snake,3,"Kansas,Nebraska,Utah",2,"Kansas,Nebraska",Reptiles,TRUE
Armiger crista,star gyro,3,"New Mexico,Vermont,Wyoming",2,"New Mexico,Vermont",Mollusks,TRUE
Arrhopalites pavo,(a cave springtail),1,Virginia,2,"Tennessee,West Virginia",Other,TRUE
Artemia franciscana,San Francisco brine shrimp,2,"New Mexico,Wyoming",2,"Arizona,New Mexico",Other Invertebrates,TRUE
Arthroplea bipunctata,A Mayfly,1,Wisconsin,2,"Pennsylvania,South Carolina",Other Invertebrates,TRUE
Ascaphus montanus,Rocky Mountain Tailed Frog,2,"Oregon,Washington",2,"Oregon,Washington",Amphibians,TRUE
Ascaphus truei,Coastal Tailed Frog,2,"California,Oregon",2,"California,Oregon",Amphibians,TRUE
Asclepias incarnata,swamp milkweed,0,NA,2,"Connecticut,Louisiana",Plants,TRUE
Asclepias rubra,red milkweed,0,NA,2,"Georgia,Louisiana",Plants,TRUE
Asclepias tuberosa,butterfly milkweed,0,NA,2,"Connecticut,Vermont",Plants,TRUE
Asclepias verticillata,whorled milkweed,0,NA,2,"Massachusetts,Vermont",Plants,TRUE
Asio flammeus flammeus,Short-eared Owl,0,NA,2,"Alaska,Oregon",Birds,FALSE
Asplenium X heteroresiliens,resilient spleenwort,1,Georgia,2,"Georgia,South Carolina",Plants,TRUE
Asplenium montanum,mountain spleenwort,2,"Missouri,Vermont",2,"Massachusetts,Vermont",Plants,TRUE
Assiminea pecos,Pecos assiminea,2,"New Mexico,Texas",2,"New Mexico,Texas",Mollusks,TRUE
Asterocampa celtis,Hackberry Emperor,2,"Delaware,Vermont",2,"Delaware,Vermont",Other Invertebrates,TRUE
Astilbe biternata,Appalachian false goat's beard,0,NA,2,"Tennessee,West Virginia",Plants,TRUE
Astragalus michauxii,sandhills milkvetch,1,Georgia,2,"Georgia,South Carolina",Plants,TRUE
Astragalus soxmaniorum,Soxman's milkvetch,0,NA,2,"Louisiana,Texas",Plants,TRUE
Athearnia anthonyi,Anthony's Riversnail,1,Alabama,2,"Alabama,Tennessee",Other,TRUE
Atranus pubescens,A Ground Beetle,1,Vermont,2,"Tennessee,Vermont",Other Invertebrates,TRUE
Attenuipyga vanduzeei,A Leafhopper,2,"Illinois,Wisconsin",2,"Minnesota,Wisconsin",Other,TRUE
Aureolaria flava,smooth yellow false foxglove,1,Vermont,2,"Connecticut,Vermont",Plants,TRUE
Aureolaria patula,spreading yellow false foxglove,1,Georgia,2,"Georgia,Tennessee",Plants,TRUE
Aureolaria pedicularia,fernleaf yellow false foxglove,1,Vermont,2,"Connecticut,Vermont",Plants,TRUE
Aythya collaris,Ring-necked Duck,2,"South Carolina,Virgin Islands",2,"Iowa,South Carolina",Birds,TRUE
Bactrurus angulus,Cumberland Gap cave amphipod,2,"Tennessee,Virginia",2,"Tennessee,Virginia",Other Invertebrates,TRUE
Bactrurus hubrichti,Kansas well bactrurid,2,"Missouri,Oklahoma",2,"Missouri,Oklahoma",Other Invertebrates,TRUE
Bactrurus pseudomucronatus,False sword-tail cave amphipod,2,"Arkansas,Missouri",2,"Arkansas,Missouri",Other Invertebrates,TRUE
Baetisca becki,A Mayfly,1,Florida,2,"Florida,North Carolina",Other Invertebrates,TRUE
Baetisca lacustris,Mayfly,1,Connecticut,2,"Connecticut,Maine",Other Invertebrates,TRUE
Bagisara gulnare,A Noctuid Moth,2,"Illinois,Pennsylvania",2,"Illinois,Wisconsin",Other Invertebrates,TRUE
Balduina atropurpurea,purpledisk honeycombhead,1,Georgia,2,"Georgia,South Carolina",Plants,TRUE
Baptisia australis var. australis,blue wild indigo,1,Georgia,2,"Georgia,West Virginia",Plants,TRUE
Barbicambarus cornutus,bottlebrush crayfish,1,Tennessee,2,"Kentucky,Tennessee",Other Invertebrates,TRUE
Bartonia texana,Texas screwstem,0,NA,2,"Louisiana,Texas",Plants,TRUE
Bartonia virginica,yellow screwstem,2,"Missouri,Vermont",2,"Missouri,Vermont",Plants,TRUE
Bellura gortynoides,A Noctuid Moth,1,Delaware,2,"Delaware,Maryland",Other Invertebrates,TRUE
Bembidion lacunarium,Ground Beetle,1,Connecticut,2,"Connecticut,Tennessee",Other Invertebrates,TRUE
Bembidion quadratulum,A Ground Beetle,2,"Connecticut,Vermont",2,"Connecticut,Vermont",Other Invertebrates,TRUE
Bembidion semicinctum,Ground Beetle,2,"Connecticut,Rhode Island",2,"Connecticut,Rhode Island",Other Invertebrates,TRUE
Bidens eatonii,Eaton's beggarticks,0,NA,2,"Connecticut,Massachusetts",Plants,TRUE
Birgella subglobosus,globe siltsnail,1,New York,2,"Michigan,Pennsylvania",Mollusks,TRUE
Blarina brevicauda,mole shrew,1,Montana,2,"District of Columbia,Montana",Mammals,TRUE
Blarina carolinensis,Southern Short-tailed Shrew,1,Texas,2,"Iowa,Texas",Mammals,TRUE
Blephilia ciliata,downy pagoda-plant,0,NA,2,"Massachusetts,Vermont",Plants,TRUE
Blephilia hirsuta,hairy pagoda-plant,2,"Nebraska,Vermont",2,"Massachusetts,Nebraska",Plants,TRUE
Bolboschoenus fluviatilis,river bulrush,0,NA,2,"Tennessee,West Virginia",Plants,TRUE
Boloria bellona,Meadow Fritillary,2,"Delaware,Rhode Island",2,"Delaware,Rhode Island",Other Invertebrates,TRUE
Boloria chariclea,Arctic Fritillary,1,Wisconsin,2,"Minnesota,Wisconsin",Other Invertebrates,TRUE
Bombus auricomus,Black and Gold Bumble Bee,0,NA,2,"Delaware,Maryland",Other Invertebrates,TRUE
Bombus borealis,Northern amber bumble,0,NA,2,"Georgia,New York",Other Invertebrates,TRUE
Bombus fernaldae,Fernald's Cuckoo Bumble Bee,0,NA,2,"Maine,Vermont",Other Invertebrates,TRUE
Bombus franklini,Franklin's Bumble Bee,1,California,2,"California,Oregon",Other Invertebrates,TRUE
Bombus insularis,Indiscriminate Cuckoo Bumble Bee,0,NA,2,"Maine,Wisconsin",Other Invertebrates,TRUE
Bombus perplexus,Confusing Bumble Bee,0,NA,2,"Vermont,Wisconsin",Other Invertebrates,TRUE
Bombycilla garrulus,Bohemian Waxwing,1,Alaska,2,"Alaska,Iowa",Birds,TRUE
Botrychium campestre,prairie moonwort,1,Nebraska,2,"Nebraska,Vermont",Plants,TRUE
Botrychium jenmanii,Dixie grapefern,0,NA,2,"Louisiana,Tennessee",Plants,TRUE
Botrychium matricariifolium,matricary grapefern,0,NA,2,"Tennessee,West Virginia",Plants,TRUE
Botrychium rugulosum,rugulose grape-fern,1,Vermont,2,"Connecticut,Vermont",Plants,TRUE
Brachinus cyanipennis,Bambardier Beetle,2,"Connecticut,Rhode Island",2,"Connecticut,Rhode Island",Other Invertebrates,TRUE
Branchinecta coloradensis,Colorado fairy shrimp,2,"New Mexico,Wyoming",2,"Arizona,New Mexico",Other Invertebrates,TRUE
Branchinecta lindahli,versatile fairy shrimp,2,"New Mexico,Wyoming",2,"Arizona,New Mexico",Other Invertebrates,TRUE
Branchinecta lynchi,vernal pool fairy shrimp,2,"California,Oregon",2,"California,Oregon",Other Invertebrates,TRUE
Branchinecta packardi,Packard fairy shrimp,2,"New Mexico,Wyoming",2,"Arizona,New Mexico",Other Invertebrates,TRUE
Branta bernicla nigricans,Pacific Black Brant,1,Oregon,2,"Alaska,Oregon",Birds,FALSE
Buchnera americana,American bluehearts,1,Georgia,2,"Georgia,Missouri",Plants,TRUE
Busycon sinistrum,lightning whelk,2,"Florida,South Carolina",2,"Louisiana,South Carolina",Mollusks,TRUE
Buteo lagopus,Rough-legged Hawk,3,"Alaska,Connecticut,Texas",2,"Alaska,Delaware",Birds,TRUE
Caecidotea,Econfina Springs Cave Isopod,3,"Florida,Maryland,Texas",2,"Florida,Tennessee",Other Invertebrates,FALSE
Caecidotea ancyla,a cave obligate isopod,2,"Arkansas,Oklahoma",2,"Arkansas,Oklahoma",Other Invertebrates,TRUE
Caecidotea bicrenata,(a cave obligate isopod),1,Illinois,2,"Illinois,Tennessee",Other Invertebrates,TRUE
Caecidotea dimorpha,An Isopod,2,"Arkansas,Missouri",2,"Arkansas,Missouri",Other Invertebrates,TRUE
Caecidotea holsingeri,Holsinger's cave isopod,2,"Virginia,West Virginia",2,"Maryland,West Virginia",Other Invertebrates,TRUE
Caecidotea incurva,Incurved Cave isopod,2,"Tennessee,Virginia",2,"Tennessee,Virginia",Other Invertebrates,TRUE
Caecidotea macropropoda,bat cave isopod,2,"Arkansas,Oklahoma",2,"Arkansas,Oklahoma",Other Invertebrates,TRUE
Caecidotea oculata,a cave obligate isopod,1,Arkansas,2,"Arkansas,Oklahoma",Other Invertebrates,TRUE
